student_id,age,gender,previous_gpa,study_hours_per_week,attendance_rate,family_income,parent_education,extracurricular_activities,tutoring_hours,sleep_hours,stress_level,final_grade,success
1,18,M,3.2,15,0.85,45000,Bachelor,2,0,7,3,85,1
2,19,F,3.8,20,0.92,65000,Master,1,2,8,2,92,1
3,17,M,2.5,8,0.70,35000,High School,0,0,6,4,68,0
4,18,F,3.5,18,0.88,55000,Bachelor,3,1,7,2,88,1
5,19,M,2.8,12,0.75,40000,High School,1,0,6,3,72,0
6,18,F,3.9,25,0.95,75000,PhD,2,3,8,1,95,1
7,17,M,2.2,5,0.65,30000,High School,0,0,5,5,62,0
8,19,F,3.6,22,0.90,60000,Master,2,2,7,2,90,1
9,18,M,3.0,14,0.80,50000,Bachelor,1,1,6,3,78,0
10,18,F,3.7,19,0.93,70000,Master,3,2,8,2,91,1
11,17,M,2.6,10,0.72,38000,High School,0,0,6,4,70,0
12,19,F,3.4,16,0.86,52000,Bachelor,2,1,7,2,86,1
13,18,M,2.9,13,0.78,45000,Bachelor,1,0,6,3,76,0
14,18,F,3.8,21,0.94,68000,Master,2,3,8,1,93,1
15,17,M,2.4,7,0.68,32000,High School,0,0,5,4,65,0
16,19,F,3.5,17,0.87,58000,Bachelor,3,2,7,2,87,1
17,18,M,3.1,15,0.82,48000,Bachelor,1,1,7,3,80,1
18,18,F,3.6,20,0.91,62000,Master,2,2,8,2,89,1
19,17,M,2.7,11,0.74,36000,High School,0,0,6,4,71,0
20,19,F,3.3,18,0.85,54000,Bachelor,2,1,7,2,84,1
21,18,M,2.8,12,0.76,42000,High School,1,0,6,3,74,0
22,18,F,3.9,24,0.96,72000,PhD,3,3,8,1,96,1
23,17,M,2.3,6,0.66,31000,High School,0,0,5,5,63,0
24,19,F,3.7,23,0.92,66000,Master,2,2,8,2,92,1
25,18,M,3.0,14,0.81,49000,Bachelor,1,1,7,3,79,0
26,18,F,3.5,19,0.89,59000,Bachelor,3,2,7,2,88,1
27,17,M,2.5,9,0.71,37000,High School,0,0,6,4,69,0
28,19,F,3.8,22,0.93,67000,Master,2,3,8,1,94,1
29,18,M,2.9,13,0.77,44000,Bachelor,1,0,6,3,77,0
30,18,F,3.6,20,0.90,61000,Master,2,2,8,2,90,1
